episode,action
121,"[123.02519,6.048521,143.46814,14.542914,0.7320524,88.46146,6.5865426,106.23998,11.065734,0.83951336,8.158798,]"
122,"[50.48608,6.5758305,51.308426,13.710104,0.3501647,54.26292,3.6846368,96.09335,8.454572,0.7736635,8.492575,]"
123,"[,31.333553,2.7666185,111.7273,12.254211,0.74951696,123.79222,1.4447935,105.996544,6.362788,0.510591,5.883734,]"
124,"[139.46622,6.8000574,132.65755,14.383549,0.21986696,45.574455,5.5049214,96.1149,14.128101,0.65962934,7.9927645,]"
125,"[83.94106,6.7362976,78.76477,12.778311,0.5678085,42.65231,1.2405317,27.984047,9.678398,0.8822254,8.520464,]"
126,"[,36.111557,2.4062119,103.99042,9.498051,0.6825187,83.55553,3.2923584,125.8414,14.30031,0.9591449,8.077058,]"
127,"[,52.37584,6.8289824,84.322044,10.619347,0.65240675,107.29889,5.997822,25.843971,13.906125,0.4319746,4.52896,]"
128,"[73.8344,4.830851,97.08643,13.15101,0.57715166,97.58008,6.753507,96.82872,13.261705,0.33521086,5.4460893,]"
129,"[103.444595,3.6777155,123.8152,13.241106,0.14841276,84.93149,6.7345676,91.42113,8.679842,0.81258714,8.1382675,]"
130,"[1.3792082e+02,1.0784984e+00,1.1015350e+02,1.2007756e+01,1.4556766e-01,9.5868134e+01,6.5473804e+00,6.4033020e+01,1.1171324e+01,1.1484873e-01,8.5762033e+00]"
131,"[128.38843,6.703191,143.96347,12.896101,0.95247984,36.65767,1.1321979,110.08215,14.756858,0.4007781,6.4645205,]"
132,"[122.437836,2.6704335,141.5409,12.409414,0.29328105,98.666504,2.7852178,36.011528,9.629546,0.5503265,8.384171,]"
133,"[131.45537,5.293558,96.44847,10.99258,0.8421507,88.169044,2.3640647,68.75323,8.960626,0.9313718,4.072431,]"
134,"[,97.723854,2.747222,147.15244,5.5218177,0.36491063,113.91867,5.9250283,76.07613,7.0403438,0.67137307,8.970644,]"
135,"[145.6573,3.2674856,76.064476,6.9915457,0.9506987,101.97395,6.217016,113.64925,10.8410015,0.9938923,4.771557,]"
136,"[145.58794,4.711733,68.7823,12.740242,0.28586298,55.542343,6.4704046,93.92761,14.461754,0.69727933,4.685862,]"
137,"[144.40182,6.9503565,102.097305,14.986586,0.16113049,37.14252,6.965852,122.87036,7.0102506,0.9453912,8.565964,]"
138,"[129.97647,6.830681,81.505264,13.875569,0.6906817,30.98896,2.1730967,137.72444,11.297306,0.62858146,7.4665475,]"
139,"[116.14123,6.32989,20.15152,13.372595,0.68039435,66.89811,2.0450702,139.44766,8.141333,0.71591717,5.0962825,]"
140,"[102.7181,5.469055,119.433624,12.962717,0.1682106,36.036278,6.4508133,42.7185,10.728141,0.8572679,8.309376,]"
141,"[,89.6934,6.3613763,141.01381,14.678591,0.41368634,106.45766,4.7973127,115.810295,8.205645,0.7626983,4.300555,]"
142,"[142.11813,5.201626,140.92181,14.130468,0.27309585,32.934345,6.9162097,76.195724,10.233755,0.9925634,8.162831,]"
143,"[1.36517151e+02,1.77912331e+00,1.25036026e+02,5.87744427e+00,1.16976649e-01,3.61681671e+01,6.59392929e+00,1.32027054e+01,1.14435282e+01,9.12817180e-01,7.09064102e+00]"
144,"[,85.939186,6.1381445,145.3623,9.204524,0.1559262,130.27277,4.786158,133.71634,10.989255,0.65407455,7.843811,]"
145,"[122.0273,5.5184755,118.61093,13.189985,0.8898159,75.62486,6.1595163,51.85299,12.667328,0.9199649,8.040231,]"
146,"[,55.570713,6.572816,121.12833,5.8261995,0.44117576,40.12708,5.8501253,79.8062,13.122084,0.32997495,4.101777,]"
147,"[,31.565498,6.3276734,145.06613,13.533155,0.9773264,43.671146,3.521607,40.724346,7.132216,0.71305764,7.3891735,]"
148,"[59.895042,6.803997,56.992973,14.423815,0.41216707,37.691147,5.990827,12.393074,11.733996,0.9848366,6.888802,]"
149,"[68.188866,6.331676,39.0639,6.814008,0.19819897,55.017094,6.0306673,64.83839,14.293131,0.9585564,8.004726,]"
150,"[135.73927,5.5033946,106.70341,11.852953,0.4702837,112.07356,3.373805,76.186485,14.706362,0.15360323,5.786187,]"
151,"[,61.371338,6.7025943,137.68379,14.606638,0.24658203,40.895313,3.5219398,143.48819,5.7833214,0.3388197,8.882155,]"
152,"[,92.742226,6.2263513,106.39367,12.687439,0.6757839,58.835163,4.23737,92.17811,9.927247,0.8961283,6.4111085]"
153,"[,48.521282,4.893316,120.72796,13.864808,0.73103964,103.28549,4.187382,11.362534,8.275502,0.72594285,8.718939,]"
154,"[1.10410812e+02,6.82486153e+00,5.90343475e+01,1.07402363e+01,8.26143622e-01,4.25658112e+01,5.06560326e+00,1.46328445e+02,1.41339188e+01,1.02234006e-01,7.75353193e+00]"
155,"[56.55098,6.427206,59.695335,9.73796,0.31956625,37.05802,2.6301446,48.97849,14.853096,0.7580235,6.740781,]"
156,"[83.90612,2.8406863,72.59449,13.34014,0.3201938,59.89704,3.5846457,61.067585,12.501219,0.9358133,8.343613,]"
157,"[,42.876026,4.941214,50.49012,12.743052,0.56813514,90.33682,5.406133,134.74887,13.387212,0.8989527,7.891336,]"
158,"[1.13539360e+02,6.09877968e+00,1.26122314e+02,1.11359558e+01,2.71713793e-01,1.45737564e+02,3.56863713e+00,2.45849838e+01,1.41828098e+01,1.22570515e-01,5.81157398e+00]"
159,"[130.97093,3.245129,74.51522,12.259327,0.3802758,31.418404,5.0339165,56.333397,14.980473,0.37366188,6.0250587,]"
160,"[,37.816475,2.152503,119.10371,14.825607,0.54661345,109.9572,5.952715,63.078255,5.660433,0.89024603,4.93717,]"
161,"[1.3130940e+02,4.4940476e+00,2.1187359e+01,1.2346154e+01,1.2625009e-01,3.7773186e+01,3.9960446e+00,8.0580688e+01,7.9775672e+00,9.3468761e-01,7.3390317e+00]"
162,"[110.39804,3.8091314,113.0185,10.227474,0.45384225,107.335175,3.4560485,136.86047,14.004812,0.4957703,5.8329625,]"
