episode,state
455,"[60.2431302, 61.4509308]"
456,"[53.0433764, 53.795552]"
457,"[51.4764041, 46.9382318]"
458,"[50.8937286, 53.6247399]"
459,"[85.5397824, 51.0590892]"
460,"[45.6048375, 50.3140326]"
461,"[46.599922, 46.856887]"
462,"[75.6367439, 54.8490235]"
463,"[53.1246815, 51.8576231]"
464,"[47.9047448, 47.0361714]"
465,"[43.978768, 42.3609241]"
466,"[66.1995358, 57.5780468]"
467,"[52.3053623, 53.6951727]"
468,"[69.9592453, 73.6974799]"
469,"[56.904231, 59.7428883]"
470,"[56.9892547, 46.6742551]"
471,"[53.3629959, 53.1167898]"
472,"[64.6797749, 64.6482486]"
473,"[54.4159883, 55.9631232]"
474,"[42.7453505, 43.9135201]"
475,"[51.1820862, 53.4529228]"
476,"[64.3082614, 61.8812748]"
477,"[88.345012, 89.0268806]"
478,"[54.3724062, 54.4323878]"
479,"[43.1344617, 45.5802834]"
480,"[43.4195963, 44.9090343]"
481,"[41.6777149, 41.9111026]"
482,"[53.4769417, 52.7529722]"
483,"[53.9258655, 54.3091522]"
484,"[58.8253549, 49.3174029]"
485,"[49.9650353, 41.8554565]"
486,"[43.89304, 44.2978702]"
487,"[54.198656, 55.2403988]"
488,"[59.0935674, 57.5448281]"
489,"[63.9326308, 58.6876472]"
490,"[78.9765255, 77.6467531]"
491,"[56.9113555, 54.7861249]"
492,"[41.0672131, 40.6668999]"
493,"[51.6075519, 54.6930855]"
494,"[64.9238282, 67.4466098]"
495,"[56.9728181, 56.1203855]"
496,"[45.3631201, 43.2247054]"
497,"[55.9811044, 55.1990781]"
498,"[54.3216707, 53.7436775]"
499,"[42.089919, 41.6389339]"
